id,latitude,longitude,elevation,prominence
612387,45.6889,96.7356,3757.11,882.19
612434,46.4725,92.6172,3756.96,890.37
613423,7.1031,-75.9692,3752.9,1605.26
613486,-73.9661,162.635,3752.65,1435.52
615006,44.6672,7.0889,3746.78,1963.64
615340,-39.6372,-71.5028,3745.5,2632.52
615593,-3.8703,135.8717,3744.55,2214.55
616650,45.5808,94.1183,3740.06,1150.9
617090,46.8867,10.8675,3738.25,2229.71
617489,44.6014,-109.5257,3736.54,1130.81
617837,32.4772,-4.9272,3735.24,1395.86
618306,25.5447,98.3011,3733.49,1421.98
620472,16.2147,-96.1819,3724.69,2159.61
621543,24.8714,-100.2328,3720.6,1876.36
622274,44.1417,-113.0827,3717.65,1638.3
622760,40.8313,-106.6632,3715.82,1060.4
622914,44.3094,81.9803,3715.17,1482.39
623077,25.2006,-100.3781,3714.59,1400.0
623140,25.3636,-100.5567,3714.34,1019.67
624224,40.2789,46.3586,3710.0,1371.0
624470,38.3692,-112.3715,3709.11,1438.66
624553,9.7269,39.7294,3708.83,1067.92
625290,28.2728,-16.6425,3705.99,3705.99
625629,-8.4117,116.4581,3704.66,3704.66
625819,37.73,46.4997,3703.91,1823.1
626593,-5.1511,143.308,3700.71,1138.35
626681,37.8061,35.1483,3700.39,2282.41
628859,68.8397,-29.9211,3691.63,3691.63
630545,52.1472,-117.4417,3684.97,2548.92
630759,39.8282,-113.92,3684.12,1607.82
