id,latitude,longitude,elevation,MHD
201.0,36.6053,30.1206,3062.94,213386.2
202.0,39.0806,113.567,3061.85,213348.3
203.0,21.2342,93.9017,3060.8,213311.7
204.0,39.08,113.5675,3058.97,213247.9
205.0,30.9903,-115.3739,3051.87,213000.3
206.0,22.2739,-102.6072,3049.35,212912.3
207.0,-21.0989,55.48,3045.5,212777.9
208.0,12.9342,24.23,3041.9,212652.1
209.0,22.2733,-102.6075,3034.89,212406.9
210.0,-3.1733,129.4556,3031.82,212299.5
211.0,0.5775,120.205,3030.02,212236.4
212.0,-3.1733,129.455,3026.97,212129.6
213.0,57.3467,-124.0925,3023.92,212022.7
214.0,-82.4667,-103.9,3022.09,211958.5
215.0,23.2383,57.2633,3018.13,211819.6
216.0,12.9436,24.2344,3010.89,211565.4
217.0,-72.15,23.2608,3010.24,211542.5
218.0,65.1858,146.04,3002.89,211284.1
219.0,-15.9492,35.5925,3001.98,211252.1
220.0,17.9286,43.2655,2995.85,211036.3
221.0,-82.4606,-103.8889,2994.88,211002.2
222.0,0.805,-66.0067,2994.05,210972.9
223.0,-15.9494,35.5931,2992.36,210913.4
224.0,23.2375,57.2642,2988.9,210791.4
225.0,-9.0783,34.0208,2980.03,210478.4
226.0,56.8775,117.5047,2980.02,210478.0
227.0,57.3464,-124.0928,2977.14,210376.3
228.0,65.1772,146.0117,2976.51,210354.0
229.0,-8.9075,125.4942,2962.96,209874.7
230.0,-9.0775,34.0225,2960.63,209792.2
231.0,62.58,140.8975,2959.0,209734.4
232.0,6.9875,125.2708,2954.12,209561.4
233.0,63.4314,-130.3244,2953.42,209536.5
234.0,63.4317,-130.3242,2951.99,209485.8
235.0,-8.9064,125.4933,2951.92,209483.3
236.0,62.6044,140.9411,2948.64,209366.9
237.0,6.9875,125.2708,2946.19,209279.9
238.0,-54.45,-36.5242,2931.87,208770.7
239.0,-54.4497,-36.5236,2925.46,208542.3
240.0,42.18,23.585,2924.86,208521.0
241.0,73.0908,-28.6183,2922.73,208445.0
242.0,16.5978,120.8989,2922.57,208439.3
243.0,16.5975,120.8992,2922.12,208423.3
244.0,42.1792,23.5853,2921.37,208396.5
245.0,0.0792,99.9842,2919.07,208314.5
246.0,40.0858,22.3583,2916.94,208238.4
247.0,42.4692,13.5658,2912.06,208064.2
248.0,-74.1633,-3.6608,2909.93,207988.1
249.0,23.2892,5.5333,2908.1,207922.7
250.0,0.0786,99.9839,2899.83,207626.8
251.0,-72.5492,0.6542,2899.31,207608.2
252.0,-20.4358,-41.7975,2897.12,207529.8
253.0,-41.9958,173.6625,2884.93,207092.7
254.0,23.2886,5.5339,2882.21,206995.1
255.0,42.4697,13.5644,2878.17,206849.9
256.0,63.1606,-44.7867,2877.23,206816.2
257.0,-20.4342,-41.7964,2877.21,206815.4
258.0,-41.9958,173.6628,2876.73,206798.2
259.0,-14.0225,48.9675,2876.09,206775.2
260.0,-14.0222,48.9669,2876.05,206773.7
261.0,63.1392,-44.8367,2875.79,206764.4
262.0,54.755,-163.9708,2869.39,206534.2
263.0,54.7553,-163.9708,2850.86,205866.2
264.0,54.6217,110.4558,2840.13,205478.4
265.0,18.9808,103.1517,2830.07,205114.2
266.0,14.95,-24.3425,2828.85,205070.0
267.0,18.9808,103.1517,2824.95,204928.6
268.0,3.6633,-65.4083,2821.4,204799.8
269.0,5.1408,-60.7633,2809.95,204383.8
270.0,-85.0442,-90.8458,2809.95,204383.8
271.0,48.4656,107.4128,2800.79,204050.4
272.0,-22.4283,-44.8425,2798.06,203950.9
273.0,54.6225,110.4572,2793.97,203801.8
274.0,-22.4281,-44.8428,2793.44,203782.5
275.0,48.4658,107.4125,2787.7,203573.0
276.0,-64.6242,-63.4383,2787.41,203562.4
277.0,14.95,-24.3425,2781.54,203348.0
278.0,17.5625,38.0058,2780.08,203294.6
279.0,10.5433,-66.7825,2765.15,202748.0
280.0,17.5622,38.0056,2762.02,202633.2
281.0,-64.6217,-63.4575,2760.88,202591.4
282.0,54.4183,-127.7442,2759.05,202524.2
283.0,-53.1036,73.5175,2750.4,202206.5
284.0,10.5428,-66.7825,2749.86,202186.6
285.0,-53.105,73.5133,2745.03,202009.0
286.0,41.9933,128.0775,2744.11,201975.1
287.0,69.2775,-144.91,2743.81,201964.1
288.0,41.9933,128.0778,2737.78,201742.1
289.0,-85.0464,-90.9639,2733.42,201581.4
290.0,69.2025,-143.8011,2720.8,201115.5
291.0,-5.905,154.995,2714.85,200895.4
292.0,-5.905,154.9953,2713.9,200860.3
293.0,-3.3008,126.22,2699.92,200342.3
294.0,5.4439,-61.0228,2695.54,200179.7
295.0,10.1708,77.0633,2695.04,200161.1
296.0,-3.3003,126.2197,2692.67,200073.1
297.0,10.1697,77.0614,2680.17,199608.2
