summitId,latitude,longitude,elevation,candidate
-785559,0.2692,6.5417,2023.87,True
-786770,17.8383,8.72,2022.04,True
-795721,15.3083,26.5492,2009.85,True
1626666,15.3086,26.5497,2008.58,True
-799725,61.4867,155.3142,2004.97,True
-799929,47.1158,136.5683,2004.06,True
1637990,47.1164,136.5683,2001.66,True
1638459,17.8392,8.7206,2001.37,True
1643729,61.4864,155.3145,1997.79,True
1666331,19.0136,8.6014,1983.72,True
-816176,33.7675,133.1158,1982.11,True
1686717,-24.6153,46.7042,1971.2,True
-825137,19.0142,8.6008,1969.92,True
-828813,-24.6158,46.705,1964.74,True
1719389,33.8544,134.0947,1951.6,True
-838597,27.47,-112.5917,1951.02,True
-839395,33.3617,126.5292,1950.11,True
1727025,27.47,-112.5919,1946.8,True
1728739,83.3183,-33.2,1945.82,True
-843244,9.2283,-11.1142,1944.93,True
-843755,73.23,-78.6233,1944.01,True
-849508,30.3358,130.5042,1936.09,True
-851679,21.9158,25.0,1933.96,True
1752755,9.2275,-11.115,1931.59,True
1760929,30.3361,130.5042,1926.95,True
1764704,33.3617,126.5358,1924.52,True
-864745,44.2708,-71.3033,1916.58,True
1778944,44.2705,-71.3034,1916.58,True
-867152,83.3742,-35.2717,1913.0,True
-869722,-8.86,27.0667,1909.88,True
-869831,-8.8625,27.0675,1909.88,True
-870036,-8.8608,27.0642,1909.88,True
-869899,-8.8617,27.0683,1909.88,True
1792854,-8.8611,27.0653,1908.48,True
-873266,70.7992,-71.65,1905.0,True
-881566,65.035,60.1142,1894.94,True
1817717,-80.6578,-24.6667,1894.42,True
-884092,-2.7133,115.6258,1891.89,True
1823247,21.9158,24.9997,1891.49,True
1824110,-13.3439,29.6103,1891.0,True
1826974,65.035,60.1139,1889.28,True
-887069,67.8175,178.2942,1887.93,True
1844410,-15.3631,166.7545,1879.71,True
-894283,-15.3625,166.755,1879.09,True
1846187,67.8169,178.2939,1878.68,True
-896440,-25.2508,-48.8,1876.96,True
-896671,-80.6558,-24.6733,1876.0,True
-897759,-13.345,29.6117,1874.82,True
1870204,-2.7106,115.6258,1865.1,True
-906307,30.125,118.1667,1863.85,True
1874187,-13.6186,-172.4869,1862.82,True
-907679,32.7592,-16.9433,1862.02,True
-908407,-27.8875,23.5608,1861.72,True
1882901,70.7994,-71.6508,1858.08,True
-911021,-13.6183,-172.4867,1858.06,True
1889212,-27.8858,23.5631,1854.78,True
1890999,43.695,134.1994,1853.72,True
1892425,-25.2411,-48.8297,1852.88,True
1895541,32.7589,-16.9428,1851.15,True
-917407,-49.595,69.4967,1850.14,True
-917893,43.6958,134.1992,1849.83,True
1899446,17.1625,54.8542,1848.96,True
-922831,-78.8275,-114.5333,1843.74,True
-923000,-78.8542,-114.3892,1843.74,True
-925999,18.8983,109.7042,1840.08,True
1922586,-17.6097,-149.4953,1836.48,True
