Latitude,Longitude,Elevation,Key col latitude,Key col longitude,Prominence
-3.3758,134.042,1417,-3.3808,134.059,351
-3.4933,134.217,1797,-3.5033,134.218,433
-3.5067,134.077,472,-3.5108,134.04,476
-3.5108,134.225,1794,-3.525,134.224,427
-3.52,134.197,1961,-3.5267,134.198,388
-3.5367,134.221,1361,-3.5383,134.227,308
-3.5717,134.27,1207,-3.5742,134.262,351
-3.58,134.282,1043,-3.5867,134.278,384
-3.6492,134.554,1922,-3.6375,134.571,318
-3.6692,134.449,1187,-3.6717,134.452,397
-3.6883,134.287,528,-3.72,134.227,620
-3.6983,134.465,879,-3.7042,134.471,348
-3.7092,134.31,1410,-3.7092,134.314,450
-3.7133,134.228,685,-3.7058,134.232,381
-3.7217,134.53,1276,-3.7258,134.537,531
-3.7233,134.412,770,-3.7342,134.38,358
-3.7258,134.271,744,-3.7367,134.271,476
-3.7308,134.228,643,-3.735,134.22,347
-3.7358,134.367,728,-3.7425,134.364,410
-3.7375,134.479,741,-3.7408,134.515,308
-3.7408,134.068,2729,-3.7358,134.071,309
-3.7417,134.279,836,-3.7433,134.288,305
-3.7425,134.56,1233,-3.7417,134.604,584
-3.75,134.201,259,-3.7783,134.187,567
-3.7508,134.292,767,-3.7575,134.273,371
-3.7808,134.332,1069,-3.78,134.321,499
-3.8492,134.457,810,-3.8533,134.458,312
-3.865,134.474,705,-3.865,134.483,400
-3.8658,134.204,1141,-3.8558,134.197,565
-3.8683,134.48,744,-3.8717,134.477,322
-3.89,134.502,400,-3.8825,134.5,482
-3.8933,134.788,275,-3.91,134.786,981
-3.2633,135.816,1148,-3.2542,135.814,315
-3.5667,136.979,6056,-3.5675,136.978,302
-3.8942,136.679,10111,-3.8975,136.677,325
-3.9075,136.97,11187,-3.9083,136.963,302
-3.9683,137.205,10738,-3.9675,137.209,410
-3.8533,138.907,6630,-3.8492,138.906,302
-3.8867,138.885,7627,-3.89,138.887,361
-3.9825,138.309,8881,-3.9825,138.322,623
