id,latitude,longitude,elevation,isolation
2430082,36.175,120.6267,1132.94,315797.0
2462977,15.06,30.415,1126.85,283965.5
2469039,-10.8325,-63.5775,1125.93,597651.3
2481208,59.825,92.8542,1123.8,534562.3
2529717,48.6442,66.9458,1116.79,364031.3
2581055,-19.6683,-175.0158,1108.86,609590.5
2620112,37.81,-25.2108,1103.07,286152.8
2652505,-77.6308,-153.6808,1097.89,247359.9
2671256,-34.375,118.2558,1095.15,1226230.6
2671265,71.0958,-179.3558,1094.84,256119.3
2702348,-46.4208,52.2275,1089.96,1109088.0
2733537,53.0683,-4.0758,1085.09,368725.2
2739813,-19.6092,169.4017,1083.87,360530.1
2765069,27.3225,17.2133,1079.91,328003.6
2806061,-19.6042,144.055,1072.9,241983.0
2806062,-19.5992,144.0725,1072.9,240176.1
2806063,-19.6008,144.075,1072.9,240075.4
2806064,-19.5967,144.0725,1072.9,240011.6
2806065,-19.5775,144.0767,1072.9,238403.7
2822609,0.9558,13.6858,1069.85,362581.8
2850295,-19.2017,-57.5933,1064.97,202340.5
2939398,18.7925,-110.9733,1050.04,490961.7
2951973,-17.2367,-51.7767,1047.9,212344.1
2999278,27.6583,75.3925,1040.89,321121.2
3013685,51.9992,-9.7425,1039.06,402278.9
3057414,-1.6167,11.765,1031.75,353672.5
3223700,59.1925,-115.5917,1006.14,275618.7
3321367,7.3292,0.7092,989.99,878695.4
3355440,3.9758,108.3358,983.89,283224.0
3367804,-17.4358,127.2367,982.07,740729.9
3407515,-79.59,-45.815,975.06,268000.7
3412885,1.9583,-68.1283,973.84,240392.1
3433172,18.7675,145.6675,969.87,1897632.3
3455098,-14.2333,-169.4542,965.91,240508.2
3460626,79.5892,99.15,965.0,450493.3
3460627,79.5383,98.7467,965.0,450060.6
3492104,-24.3567,150.9392,960.12,278769.6
